rank,ticker,tradability_score,binary_score,score_liq,pass_liq,score_stab,pass_stab,score_spread,pass_spread,score_range,pass_range,score_vol,pass_vol,median_dollar_vol,cv_dollar_vol,cs_spread,range_median,vol_median,flags
1,LGIH,75.6,5,88.72549019607843,1,97.4673202614379,1,96.89542483660131,1,75.53104575163398,1,19.281045751633986,1,18422208,0.4063,5.9e-05,0.043,0.56,OK
2,JBLU,75.4,5,99.67320261437908,1,91.01307189542483,1,88.88888888888889,1,79.00326797385621,1,18.627450980392158,1,93725272,0.4707,0.001505,0.0462,0.5659,PENNY
3,SONO,74.2,5,91.09477124183006,1,86.68300653594771,1,98.44771241830065,1,57.84313725490197,1,36.9281045751634,1,21342795,0.496,0.0,0.0338,0.4165,OK
4,LPG,74.0,5,83.33333333333334,1,97.87581699346404,1,93.62745098039215,1,49.754901960784316,1,45.42483660130719,1,13835614,0.4039,0.001062,0.0293,0.3671,NO_SIGNAL
5,SBH,71.9,5,91.83006535947712,1,95.01633986928104,1,75.98039215686273,1,63.970588235294116,1,32.51633986928104,1,22208985,0.4417,0.002553,0.0368,0.4457,OK
6,FLO,71.2,5,97.54901960784314,1,98.20261437908496,1,63.23529411764706,1,34.599673202614376,1,62.33660130718954,1,40148501,0.4015,0.003663,0.0235,0.2743,FAT_TAIL
7,YELP,70.9,5,93.87254901960785,1,98.52941176470588,1,73.28431372549021,1,30.310457516339866,1,58.45588235294117,1,27779860,0.3913,0.002812,0.0224,0.2876,NO_SIGNAL|FAT_TAIL
8,OI,70.8,5,90.68627450980392,1,69.52614379084967,1,93.70915032679738,1,50.040849673202615,1,49.83660130718954,1,19933406,0.5845,0.00106,0.0294,0.343,NO_SIGNAL|FAT_TAIL
9,CCS,70.8,5,88.23529411764706,1,96.65032679738562,1,77.65522875816994,1,51.9607843137255,1,39.62418300653595,1,18131982,0.4221,0.002463,0.0307,0.4006,NO_SIGNAL
10,EPAC,69.8,5,82.1078431372549,1,80.31045751633987,1,92.97385620915033,1,32.43464052287582,1,61.31535947712419,1,13304144,0.5326,0.001121,0.0229,0.2777,NO_SIGNAL|FAT_TAIL
11,KRP,69.8,5,64.70588235294117,1,90.359477124183,1,93.21895424836602,1,24.591503267973856,1,75.89869281045752,1,6747428,0.4755,0.001106,0.0203,0.2159,OK
